name,mos,DT,distortion_type
redandblack_00.ply,8.167091837,0,Octree_based_compression
redandblack_01.ply,6.45,0,Octree_based_compression
redandblack_02.ply,6.734375,0,Octree_based_compression
redandblack_03.ply,4.9,0,Octree_based_compression
redandblack_04.ply,6.286989796,0,Octree_based_compression
redandblack_05.ply,3.7578125,0,Octree_based_compression
redandblack_06.ply,9.392857143,1,Color_Noise
redandblack_07.ply,7.608333333,1,Color_Noise
redandblack_08.ply,7.24744898,1,Color_Noise
redandblack_09.ply,6.53125,1,Color_Noise
redandblack_10.ply,5.515625,1,Color_Noise
redandblack_11.ply,4.780769231,1,Color_Noise
redandblack_12.ply,7.767307692,2,Downscaling
redandblack_13.ply,6.803846154,2,Downscaling
redandblack_14.ply,6.65,2,Downscaling
redandblack_15.ply,5.1640625,2,Downscaling
redandblack_16.ply,3.709615385,2,Downscaling
redandblack_17.ply,2.141666667,2,Downscaling
redandblack_18.ply,8.191666667,3,Downscaling_and_Color_noise
redandblack_19.ply,6.85,3,Downscaling_and_Color_noise
redandblack_20.ply,6.144132653,3,Downscaling_and_Color_noise
redandblack_21.ply,4.6484375,3,Downscaling_and_Color_noise
redandblack_22.ply,3.465384615,3,Downscaling_and_Color_noise
redandblack_23.ply,1.433333333,3,Downscaling_and_Color_noise
redandblack_24.ply,8.2578125,4,Downscaling_and_Geometry_Gaussian_noise
redandblack_25.ply,7.3515625,4,Downscaling_and_Geometry_Gaussian_noise
redandblack_26.ply,5.579081633,4,Downscaling_and_Geometry_Gaussian_noise
redandblack_27.ply,2.4375,4,Downscaling_and_Geometry_Gaussian_noise
redandblack_28.ply,2.275,4,Downscaling_and_Geometry_Gaussian_noise
redandblack_29.ply,1.0,4,Downscaling_and_Geometry_Gaussian_noise
redandblack_30.ply,8.125,5,Geometry_Gaussian_noise
redandblack_31.ply,6.441666667,5,Geometry_Gaussian_noise
redandblack_32.ply,5.9609375,5,Geometry_Gaussian_noise
redandblack_33.ply,3.394132653,5,Geometry_Gaussian_noise
redandblack_34.ply,1.866666667,5,Geometry_Gaussian_noise
redandblack_35.ply,1.848076923,5,Geometry_Gaussian_noise
redandblack_36.ply,8.525,6,Color_noise_and_Geometry_Gaussian_noise
redandblack_37.ply,6.063461538,6,Color_noise_and_Geometry_Gaussian_noise
redandblack_38.ply,5.96875,6,Color_noise_and_Geometry_Gaussian_noise
redandblack_39.ply,3.125,6,Color_noise_and_Geometry_Gaussian_noise
redandblack_40.ply,1.876923077,6,Color_noise_and_Geometry_Gaussian_noise
redandblack_41.ply,1.691666667,6,Color_noise_and_Geometry_Gaussian_noise
loot_00.ply,6.996153846,0,Octree_based_compression
loot_01.ply,7.0859375,0,Octree_based_compression
loot_02.ply,5.383333333,0,Octree_based_compression
loot_03.ply,5.208333333,0,Octree_based_compression
loot_04.ply,6.679846939,0,Octree_based_compression
loot_05.ply,2.708333333,0,Octree_based_compression
loot_06.ply,9.65,1,Color_Noise
loot_07.ply,7.316666667,1,Color_Noise
loot_08.ply,5.396683673,1,Color_Noise
loot_09.ply,4.584615385,1,Color_Noise
loot_10.ply,4.230867347,1,Color_Noise
loot_11.ply,4.0625,1,Color_Noise
loot_12.ply,8.267307692,2,Downscaling
loot_13.ply,8.613520408,2,Downscaling
loot_14.ply,7.676020408,2,Downscaling
loot_15.ply,5.78125,2,Downscaling
loot_16.ply,2.975,2,Downscaling
loot_17.ply,1.85,2,Downscaling
