name,mos,DT
bag_gQP_1_tQP_1.ply,86.69456186,0
bag_gQP_1_tQP_2.ply,76.14530845,0
bag_gQP_1_tQP_3.ply,52.85558429,0
bag_gQP_2_tQP_1.ply,52.1814527,0
bag_gQP_2_tQP_2.ply,49.31511353,0
bag_gQP_2_tQP_3.ply,39.10736912,0
bag_gQP_3_tQP_1.ply,27.44033309,0
bag_gQP_3_tQP_2.ply,32.01772343,0
bag_gQP_3_tQP_3.ply,29.61486469,0
bag_gsigma_0_tsigma_16.ply,86.24911138,1
bag_gsigma_0_tsigma_32.ply,62.11964039,1
bag_gsigma_0_tsigma_08.ply,88.78171897,1
bag_gsigma_2_tsigma_16.ply,49.36475509,1
bag_gsigma_2_tsigma_32.ply,43.75380957,1
bag_gsigma_2_tsigma_08.ply,56.92145553,1
bag_gsigma_4_tsigma_16.ply,21.98784769,1
bag_gsigma_4_tsigma_32.ply,22.43616482,1
bag_gsigma_4_tsigma_08.ply,22.37620413,1
bag_level_7.ply,9.59532456,2
bag_level_8.ply,18.23796415,2
bag_level_9.ply,82.74107891,2
bag_pqs_1_qs_16.ply,90.340738,3
bag_pqs_1_qs_32.ply,81.83884571,3
bag_pqs_1_qs_48.ply,58.43553789,3
bag_pqs_1_qs_64.ply,62.55491922,3
bag_tsl_4_tqs_128.ply,62.21628821,4
bag_tsl_4_tqs_256.ply,36.26609788,4
bag_tsl_4_tqs_512.ply,20.84981283,4
bag_tsl_4_tqs_064.ply,67.09168867,4
bag_tsl_6_tqs_128.ply,48.88989054,4
bag_tsl_6_tqs_256.ply,40.2873935,4
bag_tsl_6_tqs_512.ply,24.60106839,4
bag_tsl_6_tqs_064.ply,58.51287376,4
bag_tsl_8_tqs_128.ply,80.66164159,4
bag_tsl_8_tqs_256.ply,60.38564447,4
bag_tsl_8_tqs_512.ply,34.95747094,4
bag_tsl_8_tqs_064.ply,90.36817669,4
biscuits_gQP_1_tQP_1.ply,80.64772987,0
biscuits_gQP_1_tQP_2.ply,69.66364063,0
biscuits_gQP_1_tQP_3.ply,55.29057762,0
biscuits_gQP_2_tQP_1.ply,68.13405141,0
biscuits_gQP_2_tQP_2.ply,65.29075052,0
biscuits_gQP_2_tQP_3.ply,53.1133493,0
biscuits_gQP_3_tQP_1.ply,67.14806687,0
biscuits_gQP_3_tQP_2.ply,54.19129873,0
biscuits_gQP_3_tQP_3.ply,45.67685542,0
biscuits_gsigma_0_tsigma_16.ply,70.89991405,1
biscuits_gsigma_0_tsigma_32.ply,40.47262999,1
biscuits_gsigma_0_tsigma_08.ply,82.28266671,1
biscuits_gsigma_2_tsigma_16.ply,55.54540274,1
biscuits_gsigma_2_tsigma_32.ply,37.85852516,1
biscuits_gsigma_2_tsigma_08.ply,60.93076647,1
biscuits_gsigma_4_tsigma_16.ply,43.1335575,1
biscuits_gsigma_4_tsigma_32.ply,25.37935374,1
biscuits_gsigma_4_tsigma_08.ply,46.58815205,1
biscuits_level_7.ply,6.910472714,2
biscuits_level_8.ply,26.07829319,2
biscuits_level_9.ply,78.90662046,2
biscuits_pqs_1_qs_16.ply,85.08186966,3
biscuits_pqs_1_qs_32.ply,74.44788099,3
biscuits_pqs_1_qs_48.ply,40.20381716,3
biscuits_pqs_1_qs_64.ply,24.03115802,3
biscuits_tsl_4_tqs_128.ply,20.56426096,4
biscuits_tsl_4_tqs_256.ply,17.38710508,4
biscuits_tsl_4_tqs_512.ply,11.29893963,4
biscuits_tsl_4_tqs_064.ply,18.04515443,4
biscuits_tsl_6_tqs_128.ply,68.95568291,4
biscuits_tsl_6_tqs_256.ply,46.84884777,4
biscuits_tsl_6_tqs_512.ply,27.49479604,4
biscuits_tsl_6_tqs_064.ply,83.00914582,4
biscuits_tsl_8_tqs_128.ply,71.1781634,4
biscuits_tsl_8_tqs_256.ply,50.5576824,4
biscuits_tsl_8_tqs_512.ply,24.26462774,4
biscuits_tsl_8_tqs_064.ply,81.60694704,4
cake_gQP_1_tQP_1.ply,80.20526502,0
cake_gQP_1_tQP_2.ply,71.92097573,0
cake_gQP_1_tQP_3.ply,53.38313209,0
cake_gQP_2_tQP_1.ply,55.79723355,0
cake_gQP_2_tQP_2.ply,51.11284661,0
cake_gQP_2_tQP_3.ply,49.40907712,0
cake_gQP_3_tQP_1.ply,27.03674282,0
cake_gQP_3_tQP_2.ply,25.93804334,0
cake_gQP_3_tQP_3.ply,25.63802684,0
cake_gsigma_0_tsigma_16.ply,68.48543238,1
cake_gsigma_0_tsigma_32.ply,44.28105151,1
cake_gsigma_0_tsigma_08.ply,82.3590312,1
cake_gsigma_2_tsigma_16.ply,58.68613346,1
cake_gsigma_2_tsigma_32.ply,40.58216881,1
cake_gsigma_2_tsigma_08.ply,67.14183949,1
cake_gsigma_4_tsigma_16.ply,45.00850006,1
cake_gsigma_4_tsigma_32.ply,33.58645616,1
cake_gsigma_4_tsigma_08.ply,50.02089902,1
cake_level_7.ply,7.770366309,2
cake_level_8.ply,17.08593154,2
cake_level_9.ply,64.34512167,2
cake_pqs_1_qs_16.ply,90.78201527,3
cake_pqs_1_qs_32.ply,62.31185039,3
cake_pqs_1_qs_48.ply,34.56216851,3
cake_pqs_1_qs_64.ply,24.85902515,3
cake_tsl_4_tqs_128.ply,71.41920062,4
cake_tsl_4_tqs_256.ply,53.06015189,4
cake_tsl_4_tqs_512.ply,21.54060176,4
cake_tsl_4_tqs_064.ply,83.76018893,4
cake_tsl_6_tqs_128.ply,79.74237911,4
cake_tsl_6_tqs_256.ply,51.50226832,4
cake_tsl_6_tqs_512.ply,27.39548212,4
cake_tsl_6_tqs_064.ply,82.75849407,4
cake_tsl_8_tqs_128.ply,83.19207028,4
cake_tsl_8_tqs_256.ply,62.14575182,4
cake_tsl_8_tqs_512.ply,32.96552511,4
cake_tsl_8_tqs_064.ply,90.65408252,4
flowerpot_gQP_1_tQP_1.ply,77.9924891,0
flowerpot_gQP_1_tQP_2.ply,70.82967664,0
flowerpot_gQP_1_tQP_3.ply,56.33702042,0
flowerpot_gQP_2_tQP_1.ply,61.47860246,0
flowerpot_gQP_2_tQP_2.ply,54.35333863,0
flowerpot_gQP_2_tQP_3.ply,37.97715453,0
flowerpot_gQP_3_tQP_1.ply,30.83918671,0
flowerpot_gQP_3_tQP_2.ply,28.31674627,0
flowerpot_gQP_3_tQP_3.ply,33.17403326,0
